scene,i,j,pi_xyz,pj_xyz,unet_ij_db,unet_ji_db,unet_absdiff_db,unet_valid,sionna_ij_db,sionna_ji_db,sionna_absdiff_db,sionna_valid
random_004,5,12,"35.625,10.000,2.188","25.000,31.250,0.938",76.83094787597656,88.01810455322266,11.187156677246094,1,76.29391479492188,75.555908203125,0.738006591796875,1
random_004,5,13,"35.625,10.000,2.188","22.500,20.625,0.312",78.77383422851562,81.46488189697266,2.6910476684570312,1,73.96560668945312,73.65545654296875,0.310150146484375,1
random_004,5,14,"35.625,10.000,2.188","34.375,21.875,1.562",68.49291229248047,77.2027816772461,8.709869384765625,1,67.28742218017578,73.22605895996094,5.938636779785156,1
random_004,5,15,"35.625,10.000,2.188","4.375,32.500,2.188",91.6788330078125,91.44278717041016,0.23604583740234375,1,84.32778930664062,83.94413757324219,0.3836517333984375,1
random_004,5,16,"35.625,10.000,2.188","26.875,31.875,0.312",78.06656646728516,88.57025909423828,10.503692626953125,1,77.64856719970703,73.73267364501953,3.9158935546875,1
random_004,5,17,"35.625,10.000,2.188","31.875,36.875,0.938",89.5710220336914,89.78919219970703,0.218170166015625,1,74.74637603759766,76.07184600830078,1.325469970703125,1
random_004,5,18,"35.625,10.000,2.188","16.875,3.750,2.188",74.9974365234375,75.64854431152344,0.6511077880859375,1,73.32369232177734,73.02259826660156,0.30109405517578125,1
random_004,5,19,"35.625,10.000,2.188","18.125,27.500,0.938",87.17926025390625,88.60249328613281,1.4232330322265625,1,81.75331115722656,81.66525268554688,0.0880584716796875,1
random_004,5,20,"35.625,10.000,2.188","3.750,37.500,0.938",91.64921569824219,91.855224609375,0.2060089111328125,1,84.49931335449219,84.38670349121094,0.11260986328125,1
random_004,5,21,"35.625,10.000,2.188","24.375,6.875,1.562",65.6070556640625,66.04999542236328,0.44293975830078125,1,63.54627990722656,63.58514404296875,0.0388641357421875,1
random_004,5,22,"35.625,10.000,2.188","22.500,3.750,1.562",73.1104736328125,73.00634002685547,0.10413360595703125,1,71.06732177734375,71.37725067138672,0.30992889404296875,1
random_004,5,23,"35.625,10.000,2.188","25.625,3.750,0.938",71.9853286743164,71.55530548095703,0.430023193359375,1,69.22402954101562,69.19672393798828,0.02730560302734375,1
random_004,5,24,"35.625,10.000,2.188","35.625,28.750,0.312",72.7811279296875,83.72114562988281,10.940017700195312,1,72.5828857421875,71.34227752685547,1.2406082153320312,1
random_004,5,25,"35.625,10.000,2.188","13.125,23.750,0.312",86.53650665283203,87.11236572265625,0.5758590698242188,1,78.10762023925781,78.41654205322266,0.30892181396484375,1
random_004,5,26,"35.625,10.000,2.188","1.250,1.250,0.312",78.02400207519531,78.53839111328125,0.5143890380859375,1,73.49801635742188,75.2812271118164,1.7832107543945312,1
random_004,5,27,"35.625,10.000,2.188","36.250,25.000,0.312",70.74225616455078,79.827880859375,9.085624694824219,1,69.10152435302734,69.22486114501953,0.1233367919921875,1
random_004,5,28,"35.625,10.000,2.188","25.000,2.500,2.188",72.41584014892578,72.38321685791016,0.032623291015625,1,69.90858459472656,68.2807846069336,1.6277999877929688,1
random_004,5,29,"35.625,10.000,2.188","4.375,9.375,0.938",74.44497680664062,74.8534927368164,0.40851593017578125,1,72.15888214111328,72.34818267822266,0.189300537109375,1
random_004,6,7,"8.125,24.375,1.562","25.625,35.000,0.938",77.42530059814453,80.89396667480469,3.4686660766601562,1,72.56086730957031,73.58458709716797,1.0237197875976562,1
random_004,6,8,"8.125,24.375,1.562","37.500,21.250,0.938",86.72462463378906,86.60169219970703,0.12293243408203125,1,75.11551666259766,75.74044036865234,0.6249237060546875,1
random_004,6,9,"8.125,24.375,1.562","26.875,1.250,1.562",93.70158386230469,87.03480529785156,6.666778564453125,1,82.07719421386719,81.506103515625,0.5710906982421875,1
random_004,6,10,"8.125,24.375,1.562","23.125,11.250,1.562",85.27499389648438,80.57293701171875,4.702056884765625,1,79.239013671875,77.57454681396484,1.6644668579101562,1
random_004,6,11,"8.125,24.375,1.562","15.000,10.625,0.938",83.4297103881836,72.28076171875,11.148948669433594,1,71.12117004394531,71.28522491455078,0.16405487060546875,1
random_004,6,12,"8.125,24.375,1.562","25.000,31.250,0.938",82.8577880859375,82.55601501464844,0.3017730712890625,1,74.71349334716797,75.60555267333984,0.892059326171875,1
random_004,6,13,"8.125,24.375,1.562","22.500,20.625,0.312",83.3590087890625,71.78378295898438,11.575225830078125,1,71.53620147705078,71.93838500976562,0.40218353271484375,1
random_004,6,14,"8.125,24.375,1.562","34.375,21.875,1.562",85.76183319091797,86.82601928710938,1.0641860961914062,1,73.29649353027344,76.99161529541016,3.6951217651367188,1
random_004,6,15,"8.125,24.375,1.562","4.375,32.500,2.188",65.53636169433594,65.11967468261719,0.41668701171875,1,64.79817199707031,64.77439880371094,0.023773193359375,1
random_004,6,16,"8.125,24.375,1.562","26.875,31.875,0.312",83.24822998046875,83.64014434814453,0.39191436767578125,1,73.43374633789062,72.91075897216797,0.5229873657226562,1
random_004,6,17,"8.125,24.375,1.562","31.875,36.875,0.938",89.72029113769531,84.84317016601562,4.8771209716796875,1,78.41105651855469,77.03425598144531,1.376800537109375,1
random_004,6,18,"8.125,24.375,1.562","16.875,3.750,2.188",92.19911193847656,85.71080017089844,6.488311767578125,1,77.40696716308594,77.64163970947266,0.23467254638671875,1
random_004,6,19,"8.125,24.375,1.562","18.125,27.500,0.938",71.48063659667969,71.59658813476562,0.1159515380859375,1,74.3659896850586,70.42997741699219,3.9360122680664062,1
random_004,6,20,"8.125,24.375,1.562","3.750,37.500,0.938",68.49644470214844,68.42765045166016,0.06879425048828125,1,67.31507110595703,67.48274230957031,0.16767120361328125,1
random_004,6,21,"8.125,24.375,1.562","24.375,6.875,1.562",86.80631256103516,82.98086547851562,3.8254470825195312,1,77.5411148071289,78.17277526855469,0.6316604614257812,1
random_004,6,22,"8.125,24.375,1.562","22.500,3.750,1.562",92.93721008300781,85.43205261230469,7.505157470703125,1,78.4766845703125,78.45397186279297,0.02271270751953125,1
random_004,6,23,"8.125,24.375,1.562","25.625,3.750,0.938",93.62457275390625,86.37703704833984,7.247535705566406,1,81.14761352539062,81.12647247314453,0.02114105224609375,1
