scene,i,j,pi_xyz,pj_xyz,unet_ij_tau_rms_ns,unet_ji_tau_rms_ns,unet_absdiff_tau_rms_ns,unet_valid,sionna_ij_tau_rms_ns,sionna_ji_tau_rms_ns,sionna_absdiff_tau_rms_ns,sionna_valid
random_000,3,4,"35.625,20.000,0.938","18.125,29.375,1.562",22.808822631835938,17.51140594482422,5.297416687011719,1,34.05670166015625,32.84756851196289,1.2091331481933594,1
random_000,3,5,"35.625,20.000,0.938","18.125,12.500,2.188",18.628658294677734,15.767251014709473,2.8614072799682617,1,25.548551559448242,28.07419204711914,2.5256404876708984,1
random_000,3,6,"35.625,20.000,0.938","26.250,36.250,0.312",13.793474197387695,13.685705184936523,0.10776901245117188,1,22.276395797729492,21.243267059326172,1.0331287384033203,1
random_000,3,7,"35.625,20.000,0.938","23.125,10.625,0.312",17.451208114624023,16.007368087768555,1.4438400268554688,1,23.2196044921875,23.7373104095459,0.5177059173583984,1
random_000,3,8,"35.625,20.000,0.938","28.125,1.250,2.188",12.402597427368164,12.635035514831543,0.2324380874633789,1,19.71357536315918,22.040281295776367,2.3267059326171875,1
random_000,3,9,"35.625,20.000,0.938","1.250,31.875,0.312",22.35590362548828,18.57831573486328,3.777587890625,1,24.73950958251953,24.208019256591797,0.5314903259277344,1
random_000,3,10,"35.625,20.000,0.938","25.625,33.750,1.562",12.433548927307129,13.44968032836914,1.0161314010620117,1,21.576078414916992,22.318012237548828,0.7419338226318359,1
random_000,3,11,"35.625,20.000,0.938","29.375,6.250,1.562",13.18640422821045,14.477398872375488,1.290994644165039,1,20.462324142456055,21.89160919189453,1.4292850494384766,1
random_000,3,12,"35.625,20.000,0.938","31.875,11.250,0.938",11.277817726135254,11.288747787475586,0.010930061340332031,1,19.249225616455078,19.438282012939453,0.189056396484375,1
random_000,3,13,"35.625,20.000,0.938","24.375,10.000,1.562",16.383573532104492,15.467657089233398,0.9159164428710938,1,22.08819007873535,24.39652442932129,2.3083343505859375,1
random_000,3,14,"35.625,20.000,0.938","30.000,16.875,0.938",9.464323043823242,9.470109939575195,0.005786895751953125,1,15.233197212219238,16.592073440551758,1.3588762283325195,1
random_000,3,15,"35.625,20.000,0.938","25.000,35.625,0.938",14.09961986541748,13.204010963439941,0.8956089019775391,1,22.391502380371094,21.407657623291016,0.9838447570800781,1
random_000,3,16,"35.625,20.000,0.938","31.250,18.750,1.562",7.363839149475098,7.392638206481934,0.028799057006835938,1,12.355113983154297,13.173379898071289,0.8182659149169922,1
random_000,3,17,"35.625,20.000,0.938","30.625,12.500,0.312",11.763324737548828,12.149726867675781,0.3864021301269531,1,19.127912521362305,19.052000045776367,0.0759124755859375,1
